timestamp,activeOrders, sells,buys, digest
Sun Feb 15 09:11:56 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 09:14:57 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 09:17:59 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 09:21:00 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 09:24:00 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 09:27:00 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 09:30:02 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 09:33:03 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 09:36:04 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 09:39:05 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 09:42:06 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 09:45:10 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 09:48:08 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 09:51:09 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 09:54:10 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 09:57:11 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 10:00:12 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 10:03:15 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 10:06:14 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 2801.92@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 10:09:15 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 634.27@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 10:12:16 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 634.27@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 10:15:17 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 634.27@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
Sun Feb 15 10:18:19 UTC 2015 , 4 , 2 , 2 , 102781900 : { BUY 634.27@0.00383757} 102781959 : { BUY 2801.06@0.00383757} 102782787 : { SELL 8400.32@0.00387227} 102782814 : { SELL 8400.32@0.00387227} 
